coh_nofilt_fp1_c4,coh_nofilt_fp2_c3,coh_nofilt_f4_f8,coh_nofilt_f8_t4,coh_nofilt_t4_p4,coh_nofilt_t4_t6,coh_nofilt_t5_p3,coh_nofilt_t5_o1,coh_nofilt_p4_t6,coh_alpha_fp2_pz,coh_alpha_f8_t4,coh_alpha_t3_c3,coh_alpha_t3_p4,coh_alpha_t5_p3,coh_alpha_t5_o1,coh_alpha_pz_p4,coh_alpha_pz_o2,coh_theta_f3_t3,env_nofilt_fp1_t4,env_nofilt_f4_c4,env_nofilt_f8_c4,env_nofilt_f8_t4,env_beta_fp1_c4,env_beta_fp2_t5,bands_gamma_fp1,bands_beta_t3,psi_alpha_fp2_fp1,fn
0.5825758274446869,0.5263288754358177,0.6074324727476219,0.9614778017801672,0.9199222913704348,0.9313341261888596,0.8816610928398199,0.8495848281953978,0.8927348606952733,0.6664848191561077,0.9617416826590036,0.7463423722323305,0.7073883825492137,0.825150006212887,0.8477527824435704,0.6637545560837707,0.7329408895671955,0.811938662149501,0.3161182168039193,0.735228218689861,0.5757577851746607,0.8962262377724848,0.1669566903312472,0.0804131215295741,0.00011513188416304523,0.011972227760228438,4.065247253531776,4089f52684a2e480.csv
0.3932464694538392,0.4581044476791377,0.6239558951668156,0.6027598166437896,0.4599036869312662,0.5519760672136049,0.7341045413017425,0.7691853719344737,0.7318300985840783,0.4178307868149454,0.8219875198684976,0.7230398487264098,0.4937284735967234,0.7572572911564152,0.837103572592487,0.7483453155089657,0.6501704088240775,0.43989995808181465,0.2978467501822113,0.2817999119660093,0.1959969715920586,0.5272128891293121,0.08249445335881242,0.1316109904661642,0.00017868150287058307,0.006625438381182028,-1.6741953849641438,43e5fb534a220e35.csv
0.4936544545792818,0.4595191857984674,0.8220797014254473,0.7667680796612685,0.4470152529059342,0.6828562242088568,0.7806565438667911,0.8529654152208855,0.7635733860561724,0.5680922875831794,0.7973770341588508,0.6813207609239772,0.3982371534399437,0.8415272821760809,0.908696763177438,0.7246400544387936,0.5931961956342453,0.5743500555579657,0.2748259555222761,0.2474148325524541,0.2468959824421817,0.5791229098097244,0.08595416566193795,0.05900009839087416,0.00044824427130804383,0.009310328180733041,-0.842111053185795,47659966be99a2c9.csv
0.3868445031927061,0.3955560963412589,0.672413688493426,0.6280435481345237,0.4552503214632183,0.4844115829074718,0.6860689105763537,0.7628083289714717,0.7454961287977752,0.4420334649267244,0.8328601789847756,0.7430782137286719,0.509248843247913,0.8537213799530451,0.9100203790811588,0.8378846296123619,0.7878246078489959,0.5083874129471081,0.14778973851274652,0.2741526539421679,0.22367512195421435,0.498628652152683,0.05342463216762227,0.09494531498335944,0.0003374624687056512,0.004499715137805947,0.4587246165176863,47b3e467b578a8d0.csv
0.5755144807807014,0.6908558034990914,0.9030985181028393,0.8387897299468698,0.7046742176718341,0.88605700601558,0.816537474399091,0.9154773079206886,0.8946414729127818,0.6235079317374093,0.8185310542282241,0.7957880885504927,0.6221714314634121,0.7679812827313496,0.8981254420175733,0.7721811703277737,0.7013699870072588,0.7450202673746544,0.2914015512637932,0.37439917735834094,0.3439755323531625,0.6352760010564671,0.16978044935690925,0.27395514847859725,7.073828586728911e-05,0.0032057230903884395,5.444441022491653,4ebf054e8c85d36a.csv
0.4215447274276125,0.3854372650587801,0.7883029498870409,0.6233200637375059,0.5805877048941424,0.6666544453245136,0.9132483292414854,0.9403620655986966,0.8169442393447386,0.41820402688776737,0.7243229568911802,0.7355829374733668,0.4389651328461702,0.8587296614610243,0.9358931943372402,0.7259437471199505,0.5368434146585185,0.6631999454426488,0.3404363498806405,0.14722784327632987,0.14604930793710208,0.5073820398394124,0.14447422679640065,0.15104910446142492,0.0010506910286877393,0.016151345588282143,2.6470147412211515,521a5a6f578df78a.csv
0.4643555676286856,0.4599567697409071,0.8234581197850075,0.8022428996079773,0.5283900917675153,0.7471515061514681,0.8540821083855054,0.788532413042168,0.7449955028606405,0.5470513582338018,0.8089206598087902,0.7487248263701066,0.4185046326218319,0.8946676376713711,0.8821035286377839,0.8017747360923464,0.617401663169683,0.599862193430893,0.17738534340971268,0.15134398965323412,0.18741632010577708,0.4826671981677849,0.05614028402513906,0.09691925416589793,0.00033700663002499484,0.01092329726456368,0.06999854366015087,56062691c4e394fa.csv
0.3807024511666829,0.3829462207724528,0.4926104855296591,0.5501578280614602,0.3835741221154384,0.5649883157364116,0.6611077871310723,0.6188100115093509,0.4896239797959523,0.4689618522300563,0.8526426663683545,0.7879043579645825,0.37441488127303657,0.73344040533365,0.8104080080939007,0.7169363906825738,0.41414710370711777,0.6384713838893068,0.14232517102166173,0.2117297006366912,0.09622847419542103,0.3502944901412521,-0.1513666346364536,0.16004750643292048,0.0022741941414405665,0.018847138459669927,1.5104441882726625,5c9ca89c610ef553.csv
0.6124797224769203,0.4914696289345937,0.4940782842349184,0.6635016057170225,0.5136088155921761,0.6993260683537107,0.8602677373080316,0.8223813381173863,0.623815342646946,0.5829696894568275,0.6882689104548377,0.6425257703788008,0.5943742853438609,0.8872693252931058,0.8284810237862222,0.6962284792102933,0.6104957021341321,0.705730831052662,0.1844133794461827,0.04904591206376871,0.060653921736857436,0.29325351686492884,0.1127410767982357,0.24685492802924025,0.0036927523122738883,0.028052051610085,-2.2315240031195875,60ccf64fd597d94a.csv
0.4980722922410982,0.3905041104166021,0.8490428743798558,0.6047907232428986,0.4566341429657871,0.845201272837542,0.7309549732537538,0.7995814183519915,0.7169773172262773,0.542213802221267,0.8458006618134293,0.7219470548855569,0.5583412265517763,0.8321982828769074,0.964403269571737,0.9059127476300484,0.5603959782214315,0.6186112753522762,0.3312159905439413,0.3197225565080985,0.2993753704648581,0.4696427872168907,0.18099464518991565,0.09874479165475387,0.0004633991500300918,0.09572173076287864,2.4076148398428154,61f27c610a2f17e3.csv
